old_code,name,recommendation,confidence,candidate_count,top1,top1_score
CB13203,英語II-A,,low,63,CB13204,7
CB31220,経済学入門A,CB31219,high,1,CB31219,7
CB31229,物理学概論,,none,0,,
CB33220,基礎ドイツ語II,,low,21,CB33211,7
CB33221,基礎ドイツ語II,,low,21,CB33211,7
CB33222,基礎ドイツ語II,,low,21,CB33211,7
CB33223,基礎ドイツ語II,,low,21,CB33211,7
CB33224,基礎ドイツ語II,,low,21,CB33211,7
CB33225,基礎フランス語II,,low,13,CB33242,7
CB33226,基礎フランス語II,,low,13,CB33242,7
CB33227,基礎フランス語II,,low,13,CB33242,7
CB33228,基礎スペイン語II,,low,14,CB33206,7
CB33229,基礎スペイン語II,,low,14,CB33206,7
CB35104,イタリア語I,CB35103,high,1,CB35103,5
CB42209,文化理解,,low,14,CB25209,5
CB42223,日本語B,CB42204,medium,1,CB42204,3
CB43213,国際事情,CB53204,high,7,CB53204,5
CB43214,国際教養PBL,CB34203,medium,7,CB34203,3
CB44203,国際教養PBL,CB34203,high,7,CB34203,7
CB51113,英語I-B,,low,62,CB51120,7
CB53207,国際事情,CB45204,high,7,CB45204,5
CB54203,英語II-B,,low,61,CB54205,7
CB54204,英語II-B,,low,61,CB54205,7
