title,qsl_2026_hit,hit_count,query,error
AI、IoT時代の公共ポリシーを国際的な観点から考察する,YES,1,AI、IoT時代の公共ポリシーを国際的な観点から考察する 2026,
Jヴィレッジ訪問,NO,0,Jヴィレッジ訪問 2026,
SDGs入門,YES,2,SDGs入門 2026,
アラビア語II,YES,1,アラビア語II 2026,
アルゴリズミック思考の基礎,YES,1,アルゴリズミック思考の基礎 2026,
アントレプレナーシップ思考,YES,4,アントレプレナーシップ思考 2026,
イタリア語II,YES,2,イタリア語II 2026,
インクルージョン社会,YES,5,インクルージョン社会 2026,
エネルギーや資源と持続可能性,YES,5,エネルギーや資源と持続可能性 2026,
キャリアデザインA,YES,10,キャリアデザインA 2026,
キャリア教育特別講義（ジャーナリズムと社会）,YES,1,キャリア教育特別講義（ジャーナリズムと社会） 2026,
キャリア教育特別講義（口腔保健学総論）,YES,1,キャリア教育特別講義（口腔保健学総論） 2026,
キャリア関連,YES,10,キャリア関連 2026,
グローバルPBL,YES,6,グローバルPBL 2026,
グローバルリーダーシップ論,NO,0,グローバルリーダーシップ論 2026,
グローバル学習,YES,10,グローバル学習 2026,
グローバル特定課題,YES,10,グローバル特定課題 2026,
スポーツA,YES,10,スポーツA 2026,
データ科学・AI概論,YES,4,データ科学・AI概論 2026,
ナノ・マイクロ科学概論,NO,0,ナノ・マイクロ科学概論 2026,
ユーラシア大陸を考える,YES,1,ユーラシア大陸を考える 2026,
伝統文化と哲学,YES,2,伝統文化と哲学 2026,
体育学のすすめ,NO,0,体育学のすすめ 2026,
倫理学,YES,10,倫理学 2026,
化学A,YES,10,化学A 2026,
化学基礎論,YES,10,化学基礎論 2026,
哲学,YES,10,哲学 2026,
国際事情,YES,10,国際事情 2026,
国際教養特定課題,YES,10,国際教養特定課題 2026,
基礎スペイン語I,YES,10,基礎スペイン語I 2026,
基礎スペイン語II,YES,10,基礎スペイン語II 2026,
基礎ドイツ語I,YES,10,基礎ドイツ語I 2026,
基礎ドイツ語II,YES,10,基礎ドイツ語II 2026,
基礎フランス語I,YES,10,基礎フランス語I 2026,
基礎フランス語II,YES,7,基礎フランス語II 2026,
基礎ロシア語Ⅰ,YES,3,基礎ロシア語Ⅰ 2026,
基礎ロシア語Ⅱ,YES,1,基礎ロシア語Ⅱ 2026,
基礎中国語I,YES,10,基礎中国語I 2026,
基礎中国語II,YES,10,基礎中国語II 2026,
基礎朝鮮語I,YES,3,基礎朝鮮語I 2026,
基礎朝鮮語II,YES,3,基礎朝鮮語II 2026,
多文化PBL,YES,10,多文化PBL 2026,
多文化特定課題,YES,8,多文化特定課題 2026,
多文化社会の探求,YES,3,多文化社会の探求 2026,
多文化間コミュニケーション,YES,10,多文化間コミュニケーション 2026,
天文学概論,YES,3,天文学概論 2026,
学問論,YES,10,学問論 2026,
実践的機械学習II,YES,2,実践的機械学習II 2026,
実践的機械学習Ⅰ,YES,2,実践的機械学習Ⅰ 2026,
心理学,YES,10,心理学 2026,
情報とデータの基礎,YES,10,情報とデータの基礎 2026,
情報と人間・社会,YES,10,情報と人間・社会 2026,
情報教育特別講義,YES,10,情報教育特別講義 2026,
情報教育特別講義（AIをめぐる人間と社会）,YES,1,情報教育特別講義（AIをめぐる人間と社会） 2026,
情報教育特別講義（統計数理モデリング）,YES,1,情報教育特別講義（統計数理モデリング） 2026,
政治学,YES,10,政治学 2026,
教育の制度と経営,YES,8,教育の制度と経営 2026,
教育課程論,YES,10,教育課程論 2026,
数理統計学概論,YES,8,数理統計学概論 2026,
文化と社会の探求,YES,10,文化と社会の探求 2026,
文化人類学,YES,10,文化人類学 2026,
文化理解,YES,10,文化理解 2026,
文学,YES,10,文学 2026,
日本国憲法,YES,5,日本国憲法 2026,
日本文化論,YES,10,日本文化論 2026,
日本語B,YES,10,日本語B 2026,
日本語H,YES,10,日本語H 2026,
東北アジア地域研究入門,YES,1,東北アジア地域研究入門 2026,
歴史学,YES,10,歴史学 2026,
汎用的技能ワークショップ,YES,1,汎用的技能ワークショップ 2026,
法学,YES,10,法学 2026,
流体力学の基礎,YES,10,流体力学の基礎 2026,
海の自然災害と防災・減災,YES,1,海の自然災害と防災・減災 2026,
物理の思想と美学,NO,0,物理の思想と美学 2026,
物理学の最前線と現代社会、そして未来社会,NO,0,物理学の最前線と現代社会、そして未来社会 2026,
物理学概論,YES,10,物理学概論 2026,
物理学概論I,YES,1,物理学概論I 2026,
物理学概論Ⅱ,YES,1,物理学概論Ⅱ 2026,
現代経済法の基礎理論,NO,0,現代経済法の基礎理論 2026,
生命と自然,YES,10,生命と自然 2026,
生命科学A,YES,10,生命科学A 2026,
生命科学B,YES,10,生命科学B 2026,
生命科学C,YES,10,生命科学C 2026,
社会学,YES,10,社会学 2026,
福島の復興・再生,YES,3,福島の復興・再生 2026,
経済と社会,YES,10,経済と社会 2026,
経済学入門B,YES,6,経済学入門B 2026,
経済学入門Ａ,YES,10,経済学入門Ａ 2026,
線形代数学概論,YES,8,線形代数学概論 2026,
自然と環境,YES,10,自然と環境 2026,
自然科学総合実験,YES,10,自然科学総合実験 2026,
芸術,YES,10,芸術 2026,
英語I-A,YES,10,英語I-A 2026,
英語I-B,YES,10,英語I-B 2026,
英語II-A,YES,10,英語II-A 2026,
英語II-B,YES,9,英語II-B 2026,
解析学概論,YES,10,解析学概論 2026,
言語学・日本語科学,YES,10,言語学・日本語科学 2026,
読んで書いて話す,YES,10,読んで書いて話す 2026,
論理学,YES,10,論理学 2026,
